Genre,0 title,0 rating,1 title,1 rating,2 title,2 rating,3 title,3 rating,4 title,4 rating
Action,The Dark Knight,8.94,The Lord of the Rings: The Return of the King,8.91,Inception,8.74,The Lord of the Rings: The Fellowship of the Ring,8.72,The Lord of the Rings: The Two Towers,8.71
Adventure,The Lord of the Rings: The Return of the King,8.91,Inception,8.74,The Lord of the Rings: The Fellowship of the Ring,8.72,The Lord of the Rings: The Two Towers,8.71,Interstellar,8.63
Animation,Spirited Away,8.43,The Lion King,8.38,WALL·E,8.29,Spider-Man: Across the Spider-Verse,8.24,Spider-Man: Into the Spider-Verse,8.2
Biography,Schindler's List,8.88,Goodfellas,8.58,The Intouchables,8.35,The Pianist,8.35,Oppenheimer,8.23
Comedy,Life Is Beautiful,8.41,The Intouchables,8.35,Up,8.19,Toy Story,8.18,Toy Story 3,8.16
Crime,The Dark Knight,8.94,Pulp Fiction,8.82,Goodfellas,8.58,Se7en,8.52,The Silence of the Lambs,8.5
Documentary,Bowling for Columbine,7.46,Senna,7.44,CM101MMXI Fundamentals,7.44,Inside Job,7.3,Searching for Sugar Man,7.26
Drama,The Shawshank Redemption,9.23,The Dark Knight,8.94,The Lord of the Rings: The Return of the King,8.91,Schindler's List,8.88,Pulp Fiction,8.82
Family,Spirited Away,8.43,WALL·E,8.29,Harry Potter and the Deathly Hallows: Part 2,7.98,Howl's Moving Castle,7.95,Like Stars on Earth,7.8
Fantasy,The Green Mile,8.5,Spider-Man: No Way Home,8.06,Pan's Labyrinth,8.03,Your Name.,8.02,Pirates of the Caribbean: The Curse of the Black Pearl,8.0
History,Schindler's List,8.88,Oppenheimer,8.23,Braveheart,8.18,12 Years a Slave,7.95,Hacksaw Ridge,7.91
Horror,Shaun of the Dead,7.73,Get Out,7.66,American Psycho,7.48,Zombieland,7.47,Let the Right One In,7.45
Music,Whiplash,8.36,The Pianist,8.35,La La Land,7.84,Bohemian Rhapsody,7.73,Walk the Line,7.49
Musical,Lagaan: Once Upon a Time in India,7.44,Swades,7.4,Moulin Rouge!,7.35,Zindagi Na Milegi Dobara,7.34,Les Misérables,7.3
Mystery,Se7en,8.52,The Prestige,8.4,The Usual Suspects,8.38,Memento,8.3,Jai Bhim,8.21
News,"Food, Inc.",6.91,An Inconvenient Truth,6.88,Before the Flood,6.81,Requiem for the American Dream,6.42,Racing Extinction,6.39
Reality-TV,Meet the Patels,6.2,Guardian of Angels,6.19,Longest Third Date,6.15,Let's Be Evil,5.95,none,none
Romance,Forrest Gump,8.73,Life Is Beautiful,8.41,Eternal Sunshine of the Spotless Mind,8.18,Good Will Hunting,8.18,Amélie,8.15
Sci-Fi,Inception,8.74,Interstellar,8.63,The Matrix,8.62,Terminator 2: Judgment Day,8.48,The Prestige,8.4
Sport,Million Dollar Baby,7.95,Warrior,7.88,The Wrestler,7.62,Remember the Titans,7.45,Senna,7.44
Thriller,The Silence of the Lambs,8.5,The Departed,8.4,Parasite,8.35,The Dark Knight Rises,8.33,Joker,8.31
War,Saving Private Ryan,8.5,Inglourious Basterds,8.31,Pan's Labyrinth,8.03,1917,8.02,Incendies,7.78
Western,Django Unchained,8.42,Unforgiven,7.95,Dances with Wolves,7.67,True Grit,7.39,Hostiles,6.78
